26	11	18.5	29.5	12.5	21	33.5	12	22.75	32	11.4	21.7
28	13	20.5	30	13.5	21.75	34.5	12.5	23.5	33.6	15.2	24.4
28	12	20	25.5	13.5	19.5	29	14	21.5	28.2	14.8	21.5
27	9	18	25.5	8.5	17	33.5	13.5	23.5	28.6	9.6	19.1
26	10	18	27.5	9	18.25	31	12.5	21.75	29.2	9.4	19.3
25	10	17.5	27	9.5	18.25	29.5	9.5	19.5	28.8	8.6	18.7
26	10	18	27.5	9	18.25	31	10	20.5	30.4	9	19.7
26	10	18	25	11	18	29	8.5	18.75	28.2	16	22.1
27	5	16	16	8.5	12.25	20.5	9.5	15	15	10	12.5
14	0	7	15.5	-1	7.25	20.5	2	11.25	16	-1	7.5
18	1	9.5	21.5	-0.5	10.5	22.5	1	11.75	23	-1.6	10.7
23.4	3	13.2	24.5	2.5	13.5	24.5	4	14.25	25.2	2.6	13.9
20	9	14.5	21.5	9	15.25	25	6	15.5	24.4	13.6	19
26	7	16.5	21	7	14	23.5	5	14.25	22.4	4.6	13.5
22	3	12.5	23.5	4.5	14	25	2.5	13.75	24.4	2.6	13.5
23	4	13.5	25.5	4	14.75	28	0	14	26.2	1.8	14
24	8	16	25.5	5.5	15.5	28	3	15.5	27.2	3.4	15.3
20	5	12.5	22.5	10.5	16.5	25	5	15	24.2	4.4	14.3
19	7	13	22.5	5	13.75	24.5	8.5	16.5	24.2	4	14.1
20	5	12.5	22.5	4.5	13.5	25.5	5	15.25	25	4.6	14.8
21	5	13	19.5	5	12.25	22	6	14	21.2	7	14.1
19	4	11.5	20	4.5	12.25	23.5	5	14.25	21.6	2.6	12.1
19	4	11.5	17	5	11	20	6.5	13.25	19.2	5.6	12.4
17	5	11	18.5	4.5	11.5	21	7.5	14.25	20.5	5.4	12.95
13.4	3	8.2	13.5	4.5	9	15.5	6.5	11	13.8	6.4	10.1
17	1	9	17.5	0.5	9	20	0	10	18.2	0.8	9.5
17	3	10	20	3	11.5	22	1.5	11.75	20.2	4	12.1
19.8	4	11.9	22.5	4.5	13.5	25	2.5	13.75	24	6	15
21	3	12	22	5.5	13.75	25.5	2.5	14	25.4	2.6	14
23.4	5	14.2	24.5	6	15.25	26.5	2.5	14.5	25.4	6.4	15.9
22.6	5	13.8	25	7	16	27.5	3.5	15.5	27	6.4	16.7
22.8	8	15.4	22.5	7.5	15	27.5	4.5	16	26.2	9.6	17.9
19	5	12	22.5	6	14.25	25	2.5	13.75	23.6	4.2	13.9
20	5	12.5	21.5	4.5	13	25	3	14	23.6	3.2	13.4
